playerID,name,birthYear,debut,finalGame,bbref_url,player_context,year_note,primary_position,positions,teams,team_timeline,batting_games,hits,home_runs,runs_batted_in,stolen_bases,batting_average,pitching_games,strikeouts,wins,losses,saves,innings_pitched,earned_run_average,corrective_status,corrective_note,corrective_class_year,include_in_directory,major_awards,all_star_selections,title_awards
spaldal01,Al Spalding,1850,1871,1878,https://www.baseball-reference.com/players/s/spaldal01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P | OF | 1B | 2B | 3B | SS,Boston Red Stockings | Chicago White Stockings,Boston Red Stockings (1871-1875) | Chicago White Stockings (1876-1878),411,613,2,338,18,0.313,347,248,251,65,13,2886.1,2.13,Corrective Induction,Foundational nineteenth-century pitching case added manually outside the automatic induction lanes.,2026,TRUE,NA,NA,NA
zobribe01,Ben Zobrist,1981,2006,2019,https://www.baseball-reference.com/players/z/zobribe01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B | OF | SS | 1B | 3B | P,Tampa Bay Devil Rays | Tampa Bay Rays | Kansas City Royals | Oakland Athletics | Chicago Cubs,Tampa Bay Devil Rays (2006-2007) | Tampa Bay Rays (2008-2014) | Kansas City Royals (2015-2015) | Oakland Athletics (2015-2015) | Chicago Cubs (2016-2019),1651,1566,167,768,116,0.266,1,1,0,0,0,1.0,0,Corrective Induction,Multi-position value and championship-era peak added manually outside the automatic induction lanes.,2026,TRUE,World Series MVP (1),3,NA
dahlebi01,Bill Dahlen,1870,1891,1911,https://www.baseball-reference.com/players/d/dahlebi01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,SS,SS | 3B | OF | 2B,Chicago Colts | Chicago Orphans | Brooklyn Superbas | New York Giants | Boston Doves | Brooklyn Dodgers,Chicago Colts (1891-1897) | Chicago Orphans (1898-1898) | Brooklyn Superbas (1899-1910) | New York Giants (1904-1907) | Boston Doves (1908-1909) | Brooklyn Dodgers (1911-1911),2444,2461,84,1234,548,0.272,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Strong historical shortstop case added manually outside the automatic induction lanes.,2026,TRUE,NA,NA,NA
abreubo01,Bobby Abreu,1974,1996,2014,https://www.baseball-reference.com/players/a/abreubo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF,Houston Astros | Philadelphia Phillies | New York Yankees | Los Angeles Angels of Anaheim | Los Angeles Dodgers | New York Mets,Houston Astros (1996-1997) | Philadelphia Phillies (1998-2006) | New York Yankees (2006-2008) | Los Angeles Angels of Anaheim (2009-2012) | Los Angeles Dodgers (2012-2012) | New York Mets (2014-2014),2425,2470,288,1363,400,0.291,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,On-base and all-around outfield value added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.,2026,TRUE,Gold Glove (1) | Silver Slugger (1),2,NA
bondsbo01,Bobby Bonds,1946,1968,1981,https://www.baseball-reference.com/players/b/bondsbo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,OF,OF,San Francisco Giants | New York Yankees | California Angels | Chicago White Sox | Texas Rangers | Cleveland Indians | St. Louis Cardinals | Chicago Cubs,San Francisco Giants (1968-1974) | New York Yankees (1975-1975) | California Angels (1976-1977) | Chicago White Sox (1978-1978) | Texas Rangers (1978-1978) | Cleveland Indians (1979-1979) | St. Louis Cardinals (1980-1980) | Chicago Cubs (1981-1981),1849,1886,332,1024,461,0.268,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Power-speed outfield peak added manually outside the automatic induction lanes.,2026,TRUE,All-Star Game MVP (1) | Gold Glove (3),3,NA
grichbo01,Bobby Grich,1949,1970,1986,https://www.baseball-reference.com/players/g/grichbo01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B | SS | 1B | 3B,Baltimore Orioles | California Angels,Baltimore Orioles (1970-1976) | California Angels (1977-1986),2008,1833,224,864,104,0.266,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Strong all-around second-base value added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (4) | Silver Slugger (1),6,NA
saberbr01,Bret Saberhagen,1964,1984,2001,https://www.baseball-reference.com/players/s/saberbr01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,P,P,Kansas City Royals | New York Mets | Colorado Rockies | Boston Red Sox,Kansas City Royals (1984-1991) | New York Mets (1992-1995) | Colorado Rockies (1995-1995) | Boston Red Sox (1997-2001),403,23,0,1,0,0.121,399,1715,167,117,1,2562.2,3.34,Corrective Induction,Two-time Cy Young pitching case added manually outside the automatic induction lanes.,2026,TRUE,Cy Young (2) | Gold Glove (1) | World Series MVP (1),3,NA
poseybu01,Buster Posey,1987,2009,2021,https://www.baseball-reference.com/players/p/poseybu01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,C,C | 1B,San Francisco Giants,San Francisco Giants (2009-2021),1371,1500,158,729,23,0.302,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Recently retired catcher with an MVP-caliber peak added manually outside the automatic induction lanes.,2026,TRUE,Gold Glove (1) | MVP (1) | Silver Slugger (5),7,NA
delgaca01,Carlos Delgado,1972,1993,2009,https://www.baseball-reference.com/players/d/delgaca01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,1B,1B | OF | C,Toronto Blue Jays | Florida Marlins | New York Mets,Toronto Blue Jays (1993-2004) | Florida Marlins (2005-2005) | New York Mets (2006-2009),2035,2038,473,1512,14,0.28,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Middle-of-the-order first-base power added manually outside the automatic induction lanes.,2026,TRUE,Silver Slugger (3),2,NA
utleych01,Chase Utley,1978,2003,2018,https://www.baseball-reference.com/players/u/utleych01.shtml,Major League Baseball,Years taken from Lahman player data. Corrective induction is a manual Hall Ledger designation.,2B,2B | 1B | 3B,Philadelphia Phillies | Los Angeles Dodgers,Philadelphia Phillies (2003-2015) | Los Angeles Dodgers (2015-2018),1937,1885,259,1025,154,0.275,NA,NA,NA,NA,NA,NA,NA,Corrective Induction,Peak second-base value added manually outside the automatic induction lanes. He remains on the 2026 BBWAA Hall of Fame ballot.,2026,TRUE,Silver Slugger (4),6,NA
