playerID,name,source_group,primary_position,season,fangraphs_name,team,age,games,plate_appearances,at_bats,hits,home_runs,runs_batted_in,runs,stolen_bases,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,batting_fwar,batting_match_type
judgeaa01,Aaron Judge,Active Induction,OF,2016,Aaron Judge,NYY,26,424,1832,1518,413,119,268,313,18,0.272068511,0.390163934,0.557971014,0.948134948,18.76062724906533,matched
judgeaa01,Aaron Judge,Active Induction,OF,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
judgeaa01,Aaron Judge,Active Induction,OF,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
judgeaa01,Aaron Judge,Active Induction,OF,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
judgeaa01,Aaron Judge,Active Induction,OF,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
judgeaa01,Aaron Judge,Active Induction,OF,2021,Aaron Judge,NYY,32,723,3179,2596,793,250,564,561,47,0.305469953,0.425015752,0.648305084,1.073320836,42.74290043568718,matched
judgeaa01,Aaron Judge,Active Induction,OF,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
judgeaa01,Aaron Judge,Active Induction,OF,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
judgeaa01,Aaron Judge,Active Induction,OF,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
judgeaa01,Aaron Judge,Active Induction,OF,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
judgeaa01,Aaron Judge,Active Induction,OF,2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
jossad01,Addie Joss,Official Induction,P,1902,Addie Joss,CLE,26,296,911,817,118,1,51,46,10,0.144430844,0.198394495,0.188494492,0.386888987,-2.8403768734869512,matched
jossad01,Addie Joss,Official Induction,P,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
jossad01,Addie Joss,Official Induction,P,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
jossad01,Addie Joss,Official Induction,P,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
jossad01,Addie Joss,Official Induction,P,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
jossad01,Addie Joss,Official Induction,P,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
jossad01,Addie Joss,Official Induction,P,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
jossad01,Addie Joss,Official Induction,P,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
jossad01,Addie Joss,Official Induction,P,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
beltrad01,Adrian Beltre,Official Induction,3B,1998,Adrian Beltré,LAD,20,367,1403,1243,338,42,174,173,33,0.271922767,0.344332855,0.437650844,0.781983699,7.473908695805674,matched
beltrad01,Adrian Beltre,Official Induction,3B,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
