playerID,name,source_group,primary_position,batting_seasons_matched,batting_games,hits,home_runs,runs_batted_in,stolen_bases,career_batting_fwar,career_batting_average,pitching_seasons_matched,pitching_games,wins,losses,saves,strikeouts,career_pitching_fwar,career_total_fwar
judgeaa01,Aaron Judge,Active Induction,OF,11,1150,1208,370,833,65,61.5,0.293,0,0,0,0,0,0,0,61.5
jossad01,Addie Joss,Official Induction,P,9,296,118,1,51,10,-2.8,0.144,9,286,160,97,5,920,33.9,31.1
beltrad01,Adrian Beltre,Official Induction,3B,21,2933,3166,477,1707,121,83.5,0.286,0,0,0,0,0,0,0,83.5
kalinal01,Al Kaline,Official Induction,OF,22,2834,3007,399,1583,137,88.9,0.297,0,0,0,0,0,0,0,88.9
simmoal01,Al Simmons,Official Induction,OF,20,2215,2927,307,1827,88,69.4,0.334,0,0,0,0,0,0,0,69.4
spaldal01,Al Spalding,Corrective Induction,P,8,411,613,2,327,10,8.5,0.313,7,347,253,65,11,142,31.3,39.8
trammal01,Alan Trammell,Official Induction,SS,20,2293,2365,185,1003,236,63.7,0.285,0,0,0,0,0,0,0,63.7
pujolal01,Albert Pujols,Statistical Induction,1B,22,3080,3384,703,2218,117,89.9,0.296,1,1,0,0,0,0,-0.1,89.8
rodrial01,Alex Rodriguez,Statistical Induction,SS,22,2784,3115,696,2086,329,113.6,0.295,0,0,0,0,0,0,0,113.6
rusieam01,Amos Rusie,Official Induction,P,10,487,428,8,176,25,-1.3,0.247,10,462,245,174,5,1934,46.5,45.2
dawsoan01,Andre Dawson,Official Induction,OF,21,2627,2774,438,1591,314,59.5,0.279,0,0,0,0,0,0,0,59.5
mccutan01,Andrew McCutchen,Active Induction,OF,18,2266,2271,333,1156,220,52.6,0.272,0,0,0,0,0,0,0,52.6
jonesan01,Andruw Jones,Official Induction,OF,17,2196,1933,434,1289,152,67,0.254,0,0,0,0,0,0,0,67
coopean99,Andy Cooper,Official Induction,P,14,298,105,3,35,0,-2.3,0.181,14,288,118,64,24,719,25.5,23.2
vaughar01,Arky Vaughan,Official Induction,SS,14,1817,2103,96,926,118,72.4,0.318,0,0,0,0,0,0,0,72.4
chapmar01,Aroldis Chapman,Active Induction,P,2,133,0,0,0,0,-0,0,17,865,60,48,368,1332,25.7,25.7
ruthba01,Babe Ruth,Official Induction,OF,22,2503,2873,714,2217,123,167,0.342,10,163,94,46,4,488,12.4,179.4
bondsba01,Barry Bonds,Statistical Induction,OF,22,2986,2935,762,1996,514,164.4,0.298,0,0,0,0,0,0,0,164.4
larkiba01,Barry Larkin,Official Induction,SS,19,2180,2340,198,960,379,67,0.295,0,0,0,0,0,0,0,67
taylobe99,Ben Taylor,Official Induction,1B,11,629,786,26,449,36,19.8,0.337,5,18,2,1,1,14,0.1,19.9
zobribe01,Ben Zobrist,Corrective Induction,2B,14,1651,1566,167,768,116,42.7,0.266,1,1,0,0,0,1,-0,42.7
blylebe01,Bert Blyleven,Official Induction,P,6,216,59,0,25,0,-2,0.131,22,692,287,250,0,3701,102.9,100.9
mcphebi01,Bid McPhee,Official Induction,2B,18,2135,2250,53,1067,568,62.7,0.271,0,0,0,0,0,0,0,62.7
dahlebi01,Bill Dahlen,Corrective Induction,SS,21,2443,2457,84,1233,547,77.5,0.272,0,0,0,0,0,0,0,77.5
dickebi01,Bill Dickey,Official Induction,C,17,1789,1969,202,1209,37,56.1,0.313,0,0,0,0,0,0,0,56.1
mazerbi01,Bill Mazeroski,Official Induction,2B,17,2163,2016,138,853,27,30.9,0.26,0,0,0,0,0,0,0,30.9
terrybi01,Bill Terry,Official Induction,1B,14,1721,2193,154,1078,56,57.2,0.341,0,0,0,0,0,0,0,57.2
hamilbi01,Billy Hamilton,Official Induction,OF,14,1591,2158,40,736,912,70.3,0.344,0,0,0,0,0,0,0,70.3
hermabi01,Billy Herman,Official Induction,2B,15,1922,2345,47,839,67,55.1,0.304,0,0,0,0,0,0,0,55.1
wagnebi02,Billy Wagner,Official Induction,P,8,453,2,0,1,0,-0.1,0.1,16,853,47,40,422,1196,24,23.9
willibi01,Billy Williams,Official Induction,OF,19,2492,2711,426,1475,90,60.1,0.29,0,0,0,0,0,0,0,60.1
mackebi99,Biz Mackey,Official Induction,C,22,894,1008,52,604,60,28.1,0.328,4,7,0,4,0,16,0,28.1
fellebo01,Bob Feller,Official Induction,P,18,570,193,8,99,1,-1,0.151,18,570,266,162,21,2581,61.4,60.4
gibsobo01,Bob Gibson,Official Induction,P,17,596,274,24,144,13,7.8,0.206,17,528,251,174,6,3117,82.3,90.1
lemonbo01,Bob Lemon,Official Induction,P,15,615,274,37,147,2,9.4,0.232,13,460,207,128,22,1277,32.2,41.6
abreubo01,Bobby Abreu,Corrective Induction,OF,18,2425,2470,288,1363,400,59.7,0.291,0,0,0,0,0,0,0,59.7
bondsbo01,Bobby Bonds,Corrective Induction,OF,14,1849,1886,332,1024,460,57.1,0.268,0,0,0,0,0,0,0,57.1
doerrbo01,Bobby Doerr,Official Induction,2B,14,1865,2042,223,1247,54,53,0.288,0,0,0,0,0,0,0,53
grichbo01,Bobby Grich,Corrective Induction,2B,17,2008,1833,224,864,104,69.2,0.266,0,0,0,0,0,0,0,69.2
wallabo01,Bobby Wallace,Official Induction,SS,25,2383,2309,34,1121,201,62.4,0.268,4,57,24,22,1,120,5.8,68.2
saberbr01,Bret Saberhagen,Corrective Induction,P,7,144,23,0,1,0,-0.2,0.121,16,399,167,117,1,1715,55.3,55.1
robinbr01,Brooks Robinson,Official Induction,3B,23,2896,2848,268,1357,28,80.2,0.267,0,0,0,0,0,0,0,80.2
suttebr01,Bruce Sutter,Official Induction,P,12,661,9,0,6,1,-0.5,0.088,12,661,68,71,300,861,19.2,18.7
harpebr03,Bryce Harper,Active Induction,OF,15,1790,1803,363,1053,152,55.4,0.279,0,0,0,0,0,0,0,55.4
ewingbu01,Buck Ewing,Official Induction,C,18,1315,1625,71,883,354,48.1,0.303,6,9,2,3,0,23,0.2,48.3
leonabu99,Buck Leonard,Official Induction,1B,14,589,728,95,545,34,34.2,0.345,0,0,0,0,0,0,0,34.2
roganbu99,Bullet Rogan,Official Induction,OF,13,681,693,50,419,106,23.1,0.338,12,214,120,52,16,918,36.5,59.6
grimebu01,Burleigh Grimes,Official Induction,P,19,632,380,2,168,15,5.5,0.248,19,616,270,212,18,1512,51.5,57
poseybu01,Buster Posey,Corrective Induction,C,12,1371,1500,158,729,23,57.9,0.302,0,0,0,0,0,0,0,57.9
sabatcc01,CC Sabathia,Official Induction,P,18,533,25,3,15,0,0.7,0.207,19,561,251,161,0,3093,66.5,67.2
ripkeca01,Cal Ripken,Official Induction,SS,21,3001,3184,431,1695,36,92.5,0.276,0,0,0,0,0,0,0,92.5
ansonca01,Cap Anson,Official Induction,1B,27,2523,3418,97,2076,276,91.2,0.333,2,3,0,1,1,1,-0.2,91
hubbeca01,Carl Hubbell,Official Induction,P,16,535,246,4,101,1,-1.7,0.191,16,535,253,154,33,1677,55.6,53.9
yastrca01,Carl Yastrzemski,Official Induction,OF,23,3308,3419,452,1844,168,94.8,0.285,0,0,0,0,0,0,0,94.8
beltrca01,Carlos Beltran,Official Induction,OF,20,2586,2725,435,1587,312,67.4,0.279,0,0,0,0,0,0,0,67.4
delgaca01,Carlos Delgado,Corrective Induction,1B,17,2035,2038,473,1512,14,44.1,0.28,0,0,0,0,0,0,0,44.1
fiskca01,Carlton Fisk,Official Induction,C,24,2499,2356,376,1330,128,68.3,0.269,0,0,0,0,0,0,0,68.3
hunteca01,Catfish Hunter,Official Induction,P,10,373,149,6,51,2,2.8,0.226,15,500,224,166,1,2012,37.2,40
bendech01,Charles Bender,Official Induction,P,15,506,243,6,116,20,3.5,0.212,16,459,212,127,34,1711,47.4,50.9
gehrich01,Charlie Gehringer,Official Induction,2B,19,2323,2839,184,1427,181,78.6,0.32,0,0,0,0,0,0,0,78.6
utleych01,Chase Utley,Corrective Induction,2B,16,1937,1885,259,1025,154,61.5,0.275,0,0,0,0,0,0,0,61.5
lemonch01,Chet Lemon,Corrective Induction,OF,16,1988,1875,215,884,58,52,0.273,0,0,0,0,0,0,0,52
hafeych01,Chick Hafey,Official Induction,OF,13,1283,1466,164,833,70,32.8,0.317,0,0,0,0,0,0,0,32.8
jonesch06,Chipper Jones,Official Induction,3B,19,2499,2726,468,1623,150,84.6,0.303,0,0,0,0,0,0,0,84.6
salech01,Chris Sale,Active Induction,P,7,187,3,0,0,0,-0.1,0.115,16,394,146,88,12,2585,57.7,57.6
mathech01,Christy Mathewson,Official Induction,P,17,646,362,7,165,20,6.5,0.215,17,635,373,188,28,2502,90,96.5
kleinch01,Chuck Klein,Official Induction,OF,17,1753,2076,300,1201,79,42.8,0.32,0,0,0,0,0,0,0,42.8
griffcl01,Clark Griffith,Official Induction,P,20,484,321,8,166,22,2.2,0.233,19,452,237,146,6,955,46.3,48.5
kershcl01,Clayton Kershaw,Statistical Induction,P,13,378,113,1,40,1,1.6,0.162,18,455,223,96,0,3052,79.1,80.7
hamelco01,Cole Hamels,Corrective Induction,P,14,429,116,2,34,1,1.3,0.169,15,423,163,122,0,2560,51.6,52.9
bellco99,Cool Papa Bell,Official Induction,OF,21,1199,1546,57,595,285,34,0.325,4,49,20,15,0,146,3.4,37.4
seageco01,Corey Seager,Active Induction,SS,12,1136,1260,223,671,21,41.7,0.289,0,0,0,0,0,0,0,41.7
biggicr01,Craig Biggio,Official Induction,2B,20,2850,3060,291,1175,414,65.8,0.281,0,0,0,0,0,0,0,65.8
kimbrcr01,Craig Kimbrel,Active Induction,P,2,124,0,0,0,0,-0,0,16,851,56,48,440,1282,21.5,21.5
torricr99,Cristóbal Torriente,Official Induction,OF,10,646,759,55,530,93,27.8,0.34,7,32,13,7,1,60,2.2,30
schilcu01,Curt Schilling,Statistical Induction,P,16,495,117,0,29,1,-0.9,0.151,20,569,216,146,22,3116,79.8,78.9
youngcy01,Cy Young,Official Induction,P,22,918,623,18,290,29,0.8,0.21,22,906,511,316,17,2803,131.5,132.3
murphda05,Dale Murphy,Corrective Induction,OF,18,2180,2111,398,1266,161,44.3,0.265,0,0,0,0,0,0,0,44.3
broutda01,Dan Brouthers,Official Induction,1B,19,1673,2296,106,1296,256,79.5,0.342,2,4,0,2,0,8,-0,79.5
bancrda01,Dave Bancroft,Official Induction,SS,16,1913,2004,32,591,145,49.3,0.279,0,0,0,0,0,0,0,49.3
parkeda01,Dave Parker,Official Induction,OF,19,2466,2712,339,1493,154,41.1,0.29,0,0,0,0,0,0,0,41.1
stiebda01,Dave Stieb,Corrective Induction,P,2,55,0,0,0,0,-0,0,16,443,176,137,3,1669,43.8,43.8
winfida01,Dave Winfield,Official Induction,OF,22,2973,3110,465,1833,223,59.9,0.283,0,0,0,0,0,0,0,59.9
ortizda01,David Ortiz,Official Induction,1B,20,2408,2472,541,1768,17,51,0.286,0,0,0,0,0,0,0,51
wrightda03,David Wright,Corrective Induction,3B,14,1585,1777,242,970,196,51.3,0.296,0,0,0,0,0,0,0,51.3
vanceda01,Dazzy Vance,Official Induction,P,15,440,146,7,75,1,-2.6,0.15,16,442,197,140,11,2045,60.1,57.5
