playerID,name,debut,finalGame,primary_position,source_group,fangraphs_name,fangraphs_playerid,debut_year,final_year,player_name_key,fangraphs_name_key
judgeaa01,Aaron Judge,2016,NA,OF,Active Induction,NA,,2016,2026,aaron judge,aaron judge
jossad01,Addie Joss,1902,1910,P,Official Induction,NA,,1902,1910,addie joss,addie joss
beltrad01,Adrian Beltre,1998,2018,3B,Official Induction,NA,,1998,2018,adrian beltre,adrian beltre
kalinal01,Al Kaline,1953,1974,OF,Official Induction,NA,,1953,1974,al kaline,al kaline
simmoal01,Al Simmons,1924,1944,OF,Official Induction,NA,,1924,1944,al simmons,al simmons
spaldal01,Al Spalding,1871,1878,P,Corrective Induction,NA,,1871,1878,al spalding,al spalding
trammal01,Alan Trammell,1977,1996,SS,Official Induction,NA,,1977,1996,alan trammell,alan trammell
pujolal01,Albert Pujols,2001,2022,1B,Statistical Induction,NA,,2001,2022,albert pujols,albert pujols
rodrial01,Alex Rodriguez,1994,2016,SS,Statistical Induction,NA,,1994,2016,alex rodriguez,alex rodriguez
rusieam01,Amos Rusie,1889,1901,P,Official Induction,NA,,1889,1901,amos rusie,amos rusie
dawsoan01,Andre Dawson,1976,1996,OF,Official Induction,NA,,1976,1996,andre dawson,andre dawson
mccutan01,Andrew McCutchen,2009,NA,OF,Active Induction,NA,,2009,2026,andrew mccutchen,andrew mccutchen
jonesan01,Andruw Jones,1996,2012,OF,Official Induction,NA,,1996,2012,andruw jones,andruw jones
coopean99,Andy Cooper,NA,1939,P,Official Induction,NA,,1871,1939,andy cooper,andy cooper
vaughar01,Arky Vaughan,1932,1948,SS,Official Induction,NA,,1932,1948,arky vaughan,arky vaughan
chapmar01,Aroldis Chapman,2010,NA,P,Active Induction,NA,,2010,2026,aroldis chapman,aroldis chapman
ruthba01,Babe Ruth,1914,1935,OF,Official Induction,NA,,1914,1935,babe ruth,babe ruth
bondsba01,Barry Bonds,1986,2007,OF,Statistical Induction,NA,,1986,2007,barry bonds,barry bonds
larkiba01,Barry Larkin,1986,2004,SS,Official Induction,NA,,1986,2004,barry larkin,barry larkin
taylobe99,Ben Taylor,1912,1936,1B,Official Induction,NA,,1912,1936,ben taylor,ben taylor
zobribe01,Ben Zobrist,2006,2019,2B,Corrective Induction,Ben Zobrist,,2006,2019,ben zobrist,ben zobrist
blylebe01,Bert Blyleven,1970,1992,P,Official Induction,NA,,1970,1992,bert blyleven,bert blyleven
mcphebi01,Bid McPhee,1882,1899,2B,Official Induction,NA,,1882,1899,bid mcphee,bid mcphee
dahlebi01,Bill Dahlen,1891,1911,SS,Corrective Induction,Bill Dahlen,,1891,1911,bill dahlen,bill dahlen
dickebi01,Bill Dickey,1928,1946,C,Official Induction,NA,,1928,1946,bill dickey,bill dickey
mazerbi01,Bill Mazeroski,1956,1972,2B,Official Induction,NA,,1956,1972,bill mazeroski,bill mazeroski
terrybi01,Bill Terry,1923,1936,1B,Official Induction,NA,,1923,1936,bill terry,bill terry
hamilbi01,Billy Hamilton,1888,1901,OF,Official Induction,NA,,1888,1901,billy hamilton,billy hamilton
hermabi01,Billy Herman,1931,1947,2B,Official Induction,NA,,1931,1947,billy herman,billy herman
wagnebi02,Billy Wagner,1995,2010,P,Official Induction,NA,,1995,2010,billy wagner,billy wagner
willibi01,Billy Williams,1959,1976,OF,Official Induction,NA,,1959,1976,billy williams,billy williams
mackebi99,Biz Mackey,NA,1947,C,Official Induction,NA,,1871,1947,biz mackey,biz mackey
fellebo01,Bob Feller,1936,1956,P,Official Induction,NA,,1936,1956,bob feller,bob feller
gibsobo01,Bob Gibson,1959,1975,P,Official Induction,NA,,1959,1975,bob gibson,bob gibson
lemonbo01,Bob Lemon,1941,1958,P,Official Induction,NA,,1941,1958,bob lemon,bob lemon
abreubo01,Bobby Abreu,1996,2014,OF,Corrective Induction,Bobby Abreu,,1996,2014,bobby abreu,bobby abreu
bondsbo01,Bobby Bonds,1968,1981,OF,Corrective Induction,Bobby Bonds,,1968,1981,bobby bonds,bobby bonds
doerrbo01,Bobby Doerr,1937,1951,2B,Official Induction,NA,,1937,1951,bobby doerr,bobby doerr
grichbo01,Bobby Grich,1970,1986,2B,Corrective Induction,Bobby Grich,,1970,1986,bobby grich,bobby grich
wallabo01,Bobby Wallace,1894,1918,SS,Official Induction,NA,,1894,1918,bobby wallace,bobby wallace
saberbr01,Bret Saberhagen,1984,2001,P,Corrective Induction,NA,,1984,2001,bret saberhagen,bret saberhagen
robinbr01,Brooks Robinson,1955,1977,3B,Official Induction,NA,,1955,1977,brooks robinson,brooks robinson
suttebr01,Bruce Sutter,1976,1988,P,Official Induction,NA,,1976,1988,bruce sutter,bruce sutter
harpebr03,Bryce Harper,2012,NA,OF,Active Induction,NA,,2012,2026,bryce harper,bryce harper
ewingbu01,Buck Ewing,1880,1897,C,Official Induction,NA,,1880,1897,buck ewing,buck ewing
leonabu99,Buck Leonard,NA,1948,1B,Official Induction,NA,,1871,1948,buck leonard,buck leonard
roganbu99,Bullet Rogan,NA,1938,OF,Official Induction,NA,,1871,1938,bullet rogan,bullet rogan
grimebu01,Burleigh Grimes,1916,1934,P,Official Induction,NA,,1916,1934,burleigh grimes,burleigh grimes
poseybu01,Buster Posey,2009,2021,C,Corrective Induction,Buster Posey,,2009,2021,buster posey,buster posey
sabatcc01,CC Sabathia,2001,2019,P,Official Induction,NA,,2001,2019,cc sabathia,cc sabathia
ripkeca01,Cal Ripken,1981,2001,SS,Official Induction,Cal Ripken Jr.,,1981,2001,cal ripken,cal ripken jr
ansonca01,Cap Anson,1871,1897,1B,Official Induction,NA,,1871,1897,cap anson,cap anson
hubbeca01,Carl Hubbell,1928,1943,P,Official Induction,NA,,1928,1943,carl hubbell,carl hubbell
yastrca01,Carl Yastrzemski,1961,1983,OF,Official Induction,NA,,1961,1983,carl yastrzemski,carl yastrzemski
beltrca01,Carlos Beltran,1998,2017,OF,Official Induction,NA,,1998,2017,carlos beltran,carlos beltran
delgaca01,Carlos Delgado,1993,2009,1B,Corrective Induction,Carlos Delgado,,1993,2009,carlos delgado,carlos delgado
fiskca01,Carlton Fisk,1969,1993,C,Official Induction,NA,,1969,1993,carlton fisk,carlton fisk
hunteca01,Catfish Hunter,1965,1979,P,Official Induction,NA,,1965,1979,catfish hunter,catfish hunter
bendech01,Charles Bender,1903,1925,P,Official Induction,Chief Bender,,1903,1925,charles bender,chief bender
gehrich01,Charlie Gehringer,1924,1942,2B,Official Induction,NA,,1924,1942,charlie gehringer,charlie gehringer
utleych01,Chase Utley,2003,2018,2B,Corrective Induction,Chase Utley,,2003,2018,chase utley,chase utley
lemonch01,Chet Lemon,1975,1990,OF,Corrective Induction,Chet Lemon,,1975,1990,chet lemon,chet lemon
hafeych01,Chick Hafey,1924,1937,OF,Official Induction,NA,,1924,1937,chick hafey,chick hafey
jonesch06,Chipper Jones,1993,2012,3B,Official Induction,Chipper Jones Jr.,,1993,2012,chipper jones,chipper jones jr
salech01,Chris Sale,2010,NA,P,Active Induction,NA,,2010,2026,chris sale,chris sale
mathech01,Christy Mathewson,1900,1916,P,Official Induction,NA,,1900,1916,christy mathewson,christy mathewson
kleinch01,Chuck Klein,1928,1944,OF,Official Induction,NA,,1928,1944,chuck klein,chuck klein
griffcl01,Clark Griffith,1891,1914,P,Official Induction,NA,,1891,1914,clark griffith,clark griffith
kershcl01,Clayton Kershaw,2008,NA,P,Statistical Induction,NA,,2008,2026,clayton kershaw,clayton kershaw
hamelco01,Cole Hamels,2006,2020,P,Corrective Induction,NA,,2006,2020,cole hamels,cole hamels
bellco99,Cool Papa Bell,NA,1948,OF,Official Induction,NA,,1871,1948,cool papa bell,cool papa bell
seageco01,Corey Seager,2015,NA,SS,Active Induction,NA,,2015,2026,corey seager,corey seager
