induction_year,playerID,name,birthYear,debut,finalGame,bbref_url,player_context,year_note,primary_position,positions,teams,team_timeline,batting_games,hits,home_runs,runs_batted_in,stolen_bases,batting_average,pitching_games,wins,losses,saves,strikeouts,innings_pitched,earned_run_average,major_awards,all_star_selections,title_awards
1978,jossad01,Addie Joss,1880,1902,1910,https://www.baseball-reference.com/players/j/jossad01.shtml,Major League Baseball,Years taken from Lahman player data.,P,P | 1B | OF | 3B,Cleveland Bronchos | Cleveland Naps,Cleveland Bronchos (1902-1902) | Cleveland Naps (1903-1910),296,118,1,51,10,0.144,286,160,97,5,920,2327.0,1.89,NA,NA,NA
2024,beltrad01,Adrian Beltre,1979,1998,2018,https://www.baseball-reference.com/players/b/beltrad01.shtml,Major League Baseball,Years taken from Lahman player data.,3B,3B | SS | 2B,Los Angeles Dodgers | Seattle Mariners | Boston Red Sox | Texas Rangers,Los Angeles Dodgers (1998-2004) | Seattle Mariners (2005-2009) | Boston Red Sox (2010-2010) | Texas Rangers (2011-2018),2933,3166,477,1707,121,0.286,NA,NA,NA,NA,NA,NA,NA,Gold Glove (5) | Silver Slugger (4),4,NA
1980,kalinal01,Al Kaline,1934,1953,1974,https://www.baseball-reference.com/players/k/kalinal01.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF | 1B | 3B,Detroit Tigers,Detroit Tigers (1953-1974),2834,3007,399,1583,137,0.297,NA,NA,NA,NA,NA,NA,NA,Gold Glove (10),15,NA
1953,simmoal01,Al Simmons,1902,1924,1944,https://www.baseball-reference.com/players/s/simmoal01.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF | 1B,Philadelphia Athletics | Chicago White Sox | Detroit Tigers | Washington Senators | Boston Bees | Cincinnati Reds | Boston Red Sox,Philadelphia Athletics (1924-1944) | Chicago White Sox (1933-1935) | Detroit Tigers (1936-1936) | Washington Senators (1937-1938) | Boston Bees (1939-1939) | Cincinnati Reds (1939-1939) | Boston Red Sox (1943-1943),2215,2927,307,1827,88,0.334,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
2018,trammal01,Alan Trammell,1958,1977,1996,https://www.baseball-reference.com/players/t/trammal01.shtml,Major League Baseball,Years taken from Lahman player data.,SS,SS | 3B | 2B | OF,Detroit Tigers,Detroit Tigers (1977-1996),2293,2365,185,1003,236,0.285,NA,NA,NA,NA,NA,NA,NA,Gold Glove (4) | Silver Slugger (3) | World Series MVP (1),6,NA
1977,rusieam01,Amos Rusie,1871,1889,1901,https://www.baseball-reference.com/players/r/rusieam01.shtml,Major League Baseball,Years taken from Lahman player data.,P,P | OF | 1B,Indianapolis Hoosiers | New York Giants | Cincinnati Reds,Indianapolis Hoosiers (1889-1889) | New York Giants (1890-1898) | Cincinnati Reds (1901-1901),487,429,8,176,25,0.248,463,246,174,5,1950,3778.2,3.07,NA,NA,NA
2010,dawsoan01,Andre Dawson,1954,1976,1996,https://www.baseball-reference.com/players/d/dawsoan01.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF,Montreal Expos | Chicago Cubs | Boston Red Sox | Florida Marlins,Montreal Expos (1976-1986) | Chicago Cubs (1987-1992) | Boston Red Sox (1993-1994) | Florida Marlins (1995-1996),2627,2774,438,1591,314,0.279,NA,NA,NA,NA,NA,NA,NA,Gold Glove (8) | MVP (1) | Rookie of the Year (1) | Silver Slugger (4),8,NA
2026,jonesan01,Andruw Jones,1977,1996,2012,https://www.baseball-reference.com/players/j/jonesan01.shtml,Major League Baseball,Years taken from Lahman player data.,OF,OF | 1B,Atlanta Braves | Los Angeles Dodgers | Texas Rangers | Chicago White Sox | New York Yankees,Atlanta Braves (1996-2007) | Los Angeles Dodgers (2008-2008) | Texas Rangers (2009-2009) | Chicago White Sox (2010-2010) | New York Yankees (2011-2012),2196,1933,434,1289,152,0.254,NA,NA,NA,NA,NA,NA,NA,Gold Glove (10) | Silver Slugger (1),5,NA
2006,coopean99,Andy Cooper,1897,NA,1939,https://www.baseball-reference.com/players/c/coopean99.shtml,Major League Baseball,Years taken from Lahman player data.,P,P | OF | 1B | 2B,Detroit Stars | Kansas City Monarchs | Chicago American Giants,Detroit Stars (1920-1930) | Kansas City Monarchs (1928-1939) | Chicago American Giants (1937-1937),300,105,3,35,0,0.185,286,114,64,32,659,1548.0,3.64,NA,1,NA
1985,vaughar01,Arky Vaughan,1912,1932,1948,https://www.baseball-reference.com/players/v/vaughar01.shtml,Major League Baseball,Years taken from Lahman player data.,SS,SS | 3B | OF | 2B,Pittsburgh Pirates | Brooklyn Dodgers,Pittsburgh Pirates (1932-1941) | Brooklyn Dodgers (1942-1948),1817,2103,96,926,118,0.318,NA,NA,NA,NA,NA,NA,NA,NA,9,NA
