year,category,name,playerID,birthYear,debut,final_game,bbref_url,primary_position,positions,teams,team_timeline,batting_games,hits,home_runs,runs_batted_in,stolen_bases,batting_average,pitching_games,wins,losses,saves,strikeouts,innings_pitched,earned_run_average,major_awards,all_star_selections,title_awards,source
2026,Player,Andruw Jones,jonesan01,1977,1996,2012,https://www.baseball-reference.com/players/j/jonesan01.shtml,OF,OF | 1B,Atlanta Braves | Los Angeles Dodgers | Texas Rangers | Chicago White Sox | New York Yankees,Atlanta Braves (1996-2007) | Los Angeles Dodgers (2008-2008) | Texas Rangers (2009-2009) | Chicago White Sox (2010-2010) | New York Yankees (2011-2012),2196,1933,434,1289,152,0.254,NA,NA,NA,NA,NA,NA,NA,Gold Glove (10) | Silver Slugger (1),5,NA,recent_official_class
2026,Player,Carlos Beltran,beltrca01,1977,1998,2017,https://www.baseball-reference.com/players/b/beltrca01.shtml,OF,OF | 1B,Kansas City Royals | Houston Astros | New York Mets | San Francisco Giants | St. Louis Cardinals | New York Yankees | Texas Rangers,Kansas City Royals (1998-2004) | Houston Astros (2004-2017) | New York Mets (2005-2011) | San Francisco Giants (2011-2011) | St. Louis Cardinals (2012-2013) | New York Yankees (2014-2016) | Texas Rangers (2016-2016),2586,2725,435,1587,312,0.279,NA,NA,NA,NA,NA,NA,NA,Gold Glove (3) | Rookie of the Year (1) | Silver Slugger (2),9,NA,recent_official_class
2026,Player,Jeff Kent,kentje01,1968,1992,2008,https://www.baseball-reference.com/players/k/kentje01.shtml,2B,2B | 3B | 1B | SS,New York Mets | Toronto Blue Jays | Cleveland Indians | San Francisco Giants | Houston Astros | Los Angeles Dodgers,New York Mets (1992-1996) | Toronto Blue Jays (1992-1992) | Cleveland Indians (1996-1996) | San Francisco Giants (1997-2002) | Houston Astros (2003-2004) | Los Angeles Dodgers (2005-2008),2298,2461,377,1518,94,0.29,NA,NA,NA,NA,NA,NA,NA,MVP (1) | Silver Slugger (4),5,NA,recent_official_class
2025,Player,Billy Wagner,wagnebi02,1971,1995,2010,https://www.baseball-reference.com/players/w/wagnebi02.shtml,P,P,Houston Astros | Philadelphia Phillies | New York Mets | Boston Red Sox | Atlanta Braves,Houston Astros (1995-2003) | Philadelphia Phillies (2004-2005) | New York Mets (2006-2009) | Boston Red Sox (2009-2009) | Atlanta Braves (2010-2010),854,2,0,1,0,0.1,853,47,40,422,1196,903.0,2.31,Reliever of the Year (1),6,NA,recent_official_class
2025,Player,CC Sabathia,sabatcc01,1980,2001,2019,https://www.baseball-reference.com/players/s/sabatcc01.shtml,P,P,Cleveland Indians | Milwaukee Brewers | New York Yankees,Cleveland Indians (2001-2008) | Milwaukee Brewers (2008-2008) | New York Yankees (2009-2019),562,25,3,15,0,0.207,561,251,161,0,3093,3577.1,3.74,Cy Young (1),6,NA,recent_official_class
2025,Player,Dave Parker,parkeda01,1951,1973,1991,https://www.baseball-reference.com/players/p/parkeda01.shtml,OF,OF | 1B | 2B,Pittsburgh Pirates | Cincinnati Reds | Oakland Athletics | Milwaukee Brewers | California Angels | Toronto Blue Jays,Pittsburgh Pirates (1973-1983) | Cincinnati Reds (1984-1987) | Oakland Athletics (1988-1989) | Milwaukee Brewers (1990-1990) | California Angels (1991-1991) | Toronto Blue Jays (1991-1991),2466,2712,339,1493,154,0.29,NA,NA,NA,NA,NA,NA,NA,All-Star Game MVP (1) | Gold Glove (3) | MVP (1) | Silver Slugger (3),7,NA,recent_official_class
2025,Player,Dick Allen,allendi01,1942,1963,1977,https://www.baseball-reference.com/players/a/allendi01.shtml,1B,1B | 3B | OF | 2B | SS,Philadelphia Phillies | St. Louis Cardinals | Los Angeles Dodgers | Chicago White Sox | Oakland Athletics,Philadelphia Phillies (1963-1976) | St. Louis Cardinals (1970-1970) | Los Angeles Dodgers (1971-1971) | Chicago White Sox (1972-1974) | Oakland Athletics (1977-1977),1749,1848,351,1119,133,0.292,NA,NA,NA,NA,NA,NA,NA,MVP (1) | Rookie of the Year (1),7,NA,recent_official_class
2025,Player,Ichiro Suzuki,suzukic01,1973,2001,2019,https://www.baseball-reference.com/players/s/suzukic01.shtml,OF,OF | P,Seattle Mariners | New York Yankees | Miami Marlins,Seattle Mariners (2001-2019) | New York Yankees (2012-2014) | Miami Marlins (2015-2017),2653,3089,117,780,509,0.311,1,0,0,0,0,1.0,9,All-Star Game MVP (1) | Gold Glove (10) | MVP (1) | Rookie of the Year (1) | Silver Slugger (3),10,NA,recent_official_class
2024,Player,Adrian Beltre,beltrad01,1979,1998,2018,https://www.baseball-reference.com/players/b/beltrad01.shtml,3B,3B | SS | 2B,Los Angeles Dodgers | Seattle Mariners | Boston Red Sox | Texas Rangers,Los Angeles Dodgers (1998-2004) | Seattle Mariners (2005-2009) | Boston Red Sox (2010-2010) | Texas Rangers (2011-2018),2933,3166,477,1707,121,0.286,NA,NA,NA,NA,NA,NA,NA,Gold Glove (5) | Silver Slugger (4),4,NA,recent_official_class
2024,Player,Joe Mauer,mauerjo01,1983,2004,2018,https://www.baseball-reference.com/players/m/mauerjo01.shtml,C,C | 1B | OF,Minnesota Twins,Minnesota Twins (2004-2018),1858,2123,143,923,52,0.306,NA,NA,NA,NA,NA,NA,NA,Gold Glove (3) | MVP (1) | Silver Slugger (5),6,NA,recent_official_class
