playerID,fangraphs_name,mlb_name
speaktr01,Tristram Speaker,Tristram Speaker
ripkeca01,Cal Ripken Jr.,Cal Ripken Jr.
jonesch06,Chipper Jones Jr.,Chipper Jones Jr.
alexape01,Grover Alexander,Grover Alexander
bendech01,Chief Bender,Chief Bender
collied01,Eddie Collins Sr.,Eddie Collins Sr.
raineti01,Tim Raines Sr.,Tim Raines
ryanno01,Nolan Ryan Jr.,Nolan Ryan
averiea01,Earl Averill Sr.,Earl Averill Sr.
wrightda03,David Wright,David Wright
pedrodu01,Dustin Pedroia,Dustin Pedroia
abreubo01,Bobby Abreu,Bobby Abreu
murphda05,Dale Murphy,Dale Murphy
poseybu01,Buster Posey,Buster Posey
delgaca01,Carlos Delgado,Carlos Delgado
zobribe01,Ben Zobrist,Ben Zobrist
dahlebi01,Bill Dahlen,Bill Dahlen
whitalo01,Lou Whitaker,Lou Whitaker
grichbo01,Bobby Grich,Bobby Grich
ramirma02,Manny Ramirez,Manny Ramirez
canoro01,Robinson Cano,Robinson Cano
loftoke01,Kenny Lofton,Kenny Lofton
nettlgr01,Graig Nettles,Graig Nettles
evansdw01,Dwight Evans,Dwight Evans
utleych01,Chase Utley,Chase Utley
vottojo01,Joey Votto,Joey Votto
jacksjo01,Joe Jackson,Joe Jackson
hernake01,Keith Hernandez,Keith Hernandez
olerujo01,John Olerud,John Olerud
bondsbo01,Bobby Bonds,Bobby Bonds
lemonch01,Chet Lemon,Chet Lemon
